Date,Severity_1,Severity_2,Severity_3,Severity_4,Residential_ct,Interstate_ct,Accident_ct,Zipcode
02/23/2019,0,0,4,0,4,0,4,30309
02/24/2019,0,0,0,0,0,0,0,30309
02/25/2019,0,1,0,0,1,0,1,30309
02/26/2019,0,1,0,0,0,1,1,30309
02/27/2019,0,2,0,0,1,1,2,30309
02/28/2019,0,0,0,0,0,0,0,30309
03/01/2019,0,0,0,0,0,0,0,30309
03/02/2019,0,1,0,0,0,1,1,30309
03/03/2019,0,0,0,0,0,0,0,30309
03/04/2019,0,0,0,0,0,0,0,30309
03/05/2019,0,0,2,0,0,2,2,30309
03/06/2019,0,0,2,0,0,2,2,30309
03/07/2019,0,0,1,0,0,1,1,30309
03/08/2019,0,0,1,0,1,0,1,30309
03/09/2019,0,0,1,0,0,1,1,30309
03/10/2019,0,0,0,0,0,0,0,30309
03/11/2019,0,1,0,0,0,1,1,30309
03/12/2019,0,0,0,0,0,0,0,30309
03/13/2019,0,2,0,0,2,0,2,30309
03/14/2019,0,1,1,2,1,3,4,30309
03/15/2019,0,2,3,0,2,3,5,30309
03/16/2019,0,0,1,0,0,1,1,30309
03/17/2019,0,0,0,0,0,0,0,30309
03/18/2019,0,0,0,0,0,0,0,30309
03/19/2019,0,0,0,0,0,0,0,30309
03/20/2019,0,2,2,0,1,3,4,30309
03/21/2019,0,2,1,0,1,2,3,30309
03/22/2019,0,1,1,0,1,1,2,30309
03/23/2019,0,0,0,0,0,0,0,30309
03/24/2019,0,0,0,0,0,0,0,30309
03/25/2019,0,6,0,1,4,3,7,30309
03/26/2019,0,3,1,0,0,4,4,30309
03/27/2019,0,0,0,0,0,0,0,30309
03/28/2019,0,4,1,0,3,2,5,30309
03/29/2019,0,1,0,0,1,0,1,30309
03/30/2019,0,0,0,0,0,0,0,30309
03/31/2019,0,0,0,0,0,0,0,30309
04/01/2019,0,4,1,0,4,1,5,30309
04/02/2019,0,1,1,0,1,1,2,30309
04/03/2019,0,0,0,0,0,0,0,30309
04/04/2019,0,0,0,0,0,0,0,30309
04/05/2019,0,3,2,0,2,3,5,30309
04/06/2019,0,0,0,0,0,0,0,30309
04/07/2019,0,0,1,0,0,1,1,30309
04/08/2019,0,2,0,0,1,1,2,30309
04/09/2019,0,2,1,0,1,2,3,30309
