Location,Address,Resolved Address,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions,Contributing Stations
,"30331, USA",,8/28/2018,89,70.6,80.3,,94.2,0,,7,,20.1,74.85,Clear,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.4mi), HARTSFIELD-JACKSON ATLANTA INTL AP (Id=72219013874,7.7mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,14.0mi)"
,"30331, USA",,8/29/2018,88.1,70.9,79.8,,94.9,0,,10.7,,30.6,77.93,Partially cloudy,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.4mi), HARTSFIELD-JACKSON ATLANTA INTL AP (Id=72219013874,7.7mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,14.0mi)"
,"30331, USA",,8/30/2018,88,68.6,77.9,,92.2,0,,9,,25,76.8,Clear,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.4mi), HARTSFIELD-JACKSON ATLANTA INTL AP (Id=72219013874,7.7mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,14.0mi)"
,"30331, USA",,8/31/2018,86.9,72.1,78.9,,89.8,0,,8.3,,33.6,74.31,Partially cloudy,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.4mi), HARTSFIELD-JACKSON ATLANTA INTL AP (Id=72219013874,7.7mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,14.0mi)"
,"30331, USA",,9/1/2018,90.5,70.4,79.8,,94.2,0,,9.8,,31.7,73.77,Partially cloudy,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.4mi), HARTSFIELD-JACKSON ATLANTA INTL AP (Id=72219013874,7.7mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,14.0mi)"
,"30331, USA",,9/2/2018,89.4,71.8,80.3,,92.4,0,,10.6,,42.3,72.46,Partially cloudy,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.4mi), HARTSFIELD-JACKSON ATLANTA INTL AP (Id=72219013874,7.7mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,14.0mi)"
,"30331, USA",,9/3/2018,89.5,71.5,80,,91.9,0,,10.9,,37.2,71.92,Partially cloudy,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.4mi), HARTSFIELD-JACKSON ATLANTA INTL AP (Id=72219013874,7.7mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,14.0mi)"
,"30331, USA",,9/4/2018,87.4,72.1,79.5,,91.9,0,,11.6,,31.8,75.54,Partially cloudy,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.4mi), HARTSFIELD-JACKSON ATLANTA INTL AP (Id=72219013874,7.7mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,14.0mi)"
,"30331, USA",,9/5/2018,86.8,73.3,79.5,,90.9,0,,10.4,,50.8,77.58,Partially cloudy,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.4mi), HARTSFIELD-JACKSON ATLANTA INTL AP (Id=72219013874,7.7mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,14.0mi)"
,"30331, USA",,9/6/2018,86.3,73.6,79.1,,90.8,0,,9.3,,53.5,79.88,Partially cloudy,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.4mi), HARTSFIELD-JACKSON ATLANTA INTL AP (Id=72219013874,7.7mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,14.0mi)"
,"30331, USA",,9/7/2018,89.5,70.3,78.8,,93.9,0,,7,,27.4,77.11,Partially cloudy,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.4mi), HARTSFIELD-JACKSON ATLANTA INTL AP (Id=72219013874,7.7mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,14.0mi)"
,"30331, USA",,9/8/2018,89.6,71.5,80,,94.9,0,,8,,31.3,75.99,Partially cloudy,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.4mi), HARTSFIELD-JACKSON ATLANTA INTL AP (Id=72219013874,7.7mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,14.0mi)"
,"30331, USA",,9/9/2018,87.7,70.6,79,,94,0.2,,9.6,,25.4,79.98,"Rain, Partially cloudy","FULTON CO-BROWN FLD ARPT (Id=72219503888,4.4mi), HARTSFIELD-JACKSON ATLANTA INTL AP (Id=72219013874,7.7mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,14.0mi)"
,"30331, USA",,9/10/2018,86,71.5,78.1,,92.8,0,,9.6,,41.8,82.28,Partially cloudy,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.4mi), HARTSFIELD-JACKSON ATLANTA INTL AP (Id=72219013874,7.7mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,14.0mi)"
,"30331, USA",,9/11/2018,86.8,71.9,78.8,,93.4,0.1,,8.4,,57.9,81.77,"Rain, Partially cloudy","FULTON CO-BROWN FLD ARPT (Id=72219503888,4.4mi), HARTSFIELD-JACKSON ATLANTA INTL AP (Id=72219013874,7.7mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,14.0mi)"
,"30331, USA",,9/12/2018,88.8,73.3,78.6,,95.6,0.3,,9.1,,51.2,84.34,"Rain, Partially cloudy","FULTON CO-BROWN FLD ARPT (Id=72219503888,4.4mi), HARTSFIELD-JACKSON ATLANTA INTL AP (Id=72219013874,7.7mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,14.0mi)"
,"30331, USA",,9/13/2018,88.5,73.5,79.9,,96.1,0,,6.9,,56.3,81.57,Partially cloudy,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.4mi), HARTSFIELD-JACKSON ATLANTA INTL AP (Id=72219013874,7.7mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,14.0mi)"
,"30331, USA",,9/14/2018,92.9,73.6,82.4,,99.2,0,,13.9,,23.9,74.32,Clear,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.4mi), HARTSFIELD-JACKSON ATLANTA INTL AP (Id=72219013874,7.7mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,14.0mi)"
,"30331, USA",,9/15/2018,92.5,72.1,80.3,,95.7,0,,11.7,29.8,36.6,74.03,Partially cloudy,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.4mi), HARTSFIELD-JACKSON ATLANTA INTL AP (Id=72219013874,7.7mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,14.0mi)"
,"30331, USA",,9/16/2018,81.3,73.4,76.4,,84.9,0,,14,25.3,84.9,82.21,Overcast,"FULTON CO-BROWN FLD ARPT (Id=72219503888,4.4mi), HARTSFIELD-JACKSON ATLANTA INTL AP (Id=72219013874,7.7mi), DOBBINS AIR RESERVE BASE AIRPORT (Id=72227013864,14.0mi)"
